sample_id	osu_id	osu_count	pctsim	species
SRR7293299	1000121	2683	80.24	Alistipes_inops_627,Tidjanibacter_massiliensis_Marseille-P3084
SRR7293299	1000010	1534	96.45	Prevotella_copri_JCM_13464
SRR7293299	1000380	948	99.5	Faecalibacterium_prausnitzii_ATCC_27768
SRR7293299	1000001	869	98.13	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293299	1000008	795	98.11	Prevotella_copri_JCM_13464
SRR7293299	1000049	642	98.36	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293299	1000002	604	99.53	Prevotella_copri_DSM_18205
SRR7293299	1000142	594	96.74	Dialister_succinatiphilus_YIT_11850
SRR7293299	1000037	593	96.79	Oscillibacter_sp._ER4
SRR7293299	1000003	551	99.53	Prevotella_copri_JCM_13464
SRR7293299	5342	494	100	Prevotella_stercorea_DSM_18206,Prevotella_stercorea_CB35
SRR7293299	1000599	485	85.82	Parabacteroides_sp._YL27,Muribaculum_intestinale_YL27
SRR7293299	9547	460	100	Oscillibacter_sp._ER4
SRR7293299	3031	444	100	Akkermansia_muciniphila_[27]
SRR7293299	1000017	418	94.07	Oscillibacter_sp._ER4
SRR7293299	1000083	408	99.53	Prevotella_copri_DSM_18205
SRR7293299	1000196	408	97.54	Roseburia_sp._831b
SRR7293299	1000772	356	95.05	Ruminococcus_bicirculans_80/3
SRR7293299	1000754	352	81.73	Synechococcus_sp._PCC_8807
SRR7293299	1000212	350	94.86	Megasphaera_elsdenii_DSM_20460,Megasphaera_elsdenii_24-50,Megasphaera_elsdenii_14-14,Megasphaera_sp._NM10
SRR7293299	19737	339	100	Massiliprevotella_massiliensis_Marseille-P2439
SRR7293299	1000075	329	85.82	Parabacteroides_sp._YL27,Muribaculum_intestinale_YL27
SRR7293299	1000823	318	97.9	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293299	209	308	100	Escherichia_coli_[7164],Shigella_sonnei_[854],Shigella_flexneri_[67],Shigella_boydii_[32],Escherichia_fergusonii_[7],Escherichia_albertii_[2],Shigella_dysenteriae_[2],Citrobacter_braakii_SCC4,Escherichia_sp._1_1_43,Escherichia_sp._3_2_53FAA,Escherichia_sp._4_1_40B,Escherichia_sp._B1147,Escherichia_sp._KTE11,Escherichia_sp._KTE159,Escherichia_sp._KTE52,Escherichia_sp._KTE96,Escherichia_sp._TW09308,Escherichia_sp._TW15838,Escherichia_vulneris_ATCC_33821,Klebsiella_oxytoca_2880STDY5682666
SRR7293299	3815	292	100	Faecalibacterium_prausnitzii_2789STDY5834970,Faecalibacterium_prausnitzii_CNCM_I_4573,Faecalibacterium_prausnitzii_CNCM_I_4644
SRR7293299	1000420	288	91.6	Eubacterium_coprostanoligenes_ATCC_51222,Eubacterium_coprostanoligenes_HL
SRR7293299	1000086	282	99.29	Prevotella_copri_JCM_13464
SRR7293299	1000057	273	99.76	Prevotella_copri_DSM_18205
SRR7293299	1000906	257	85.4	Abyssivirga_alkaniphila_L81,Vallitalea_guaymasensis_Ra1766G1
SRR7293299	1000510	250	95.56	Oscillibacter_sp._ER4
SRR7293299	1000027	238	97.52	Hungatella_hathewayi_WAL-18680
SRR7293299	9068	233	100	Ruminococcus_bicirculans_80/3
SRR7293299	1000961	228	99.53	Prevotella_copri_DSM_18205
SRR7293299	1000923	210	99.76	Prevotella_stercorea_DSM_18206,Prevotella_stercorea_CB35
SRR7293299	1000791	205	99.29	Prevotella_stercorea_DSM_18206,Prevotella_stercorea_CB35
SRR7293299	1000794	204	86.05	Parabacteroides_sp._YL27,Muribaculum_intestinale_YL27
