osu_id	pctsim	kingdom	phylum	class	order	family	genus
1001113	85.4	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1000659	87.84	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1001355	87.44	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1001497	88.34	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1000906	85.19	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1001972	87.87	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1003124	88.31	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1003232	87.68	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1003361	88.54	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1000065	91.83	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000634	92.08	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1001208	91.83	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000330	91.58	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1002339	91.58	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1002183	92.08	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000490	91.83	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1002711	91.58	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1001106	97.02	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Lachnospiraceae_[1]	Acetitomaculum_[1]
1002703	97.02	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Lachnospiraceae_[1]	Acetitomaculum_[1]
1003362	92.06	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetivibrio_[1]
1001403	86.42	Bacteria_[6]	Proteobacteria_[6]	Alphaproteobacteria_[6]	Rhodospirillales_[6]	Acetobacteraceae_[6]	Acetobacter_[6]
1001798	86.17	Bacteria_[6]	Proteobacteria_[6]	Alphaproteobacteria_[6]	Rhodospirillales_[6]	Acetobacteraceae_[6]	Acetobacter_[6]
1001364	86.7	Bacteria_[23]	Proteobacteria_[23]	Alphaproteobacteria_[23]	Rhodospirillales_[23]	Acetobacteraceae_[13],Rhodospirillaceae_[13]	Acetobacter_[13],Fodinicurvata_[13],Insolitispirillum_[13],Novispirillum_[13]
1000927	86.67	Bacteria_[6]	Proteobacteria_[6]	Alphaproteobacteria_[6]	Rhodospirillales_[6]	Acetobacteraceae_[6]	Acetobacter_[6]
1001955	86.45	Bacteria_[19]	Proteobacteria_[19]	Alphaproteobacteria_[19]	Rhodospirillales_[19]	Acetobacteraceae_[13],Rhodospirillaceae_[13]	Acetobacter_[13],Insolitispirillum_[13],Novispirillum_[13]
1001315	86.42	Bacteria_[6]	Proteobacteria_[6]	Alphaproteobacteria_[6]	Rhodospirillales_[6]	Acetobacteraceae_[6]	Acetobacter_[6]
1002961	86.17	Bacteria_[19]	Proteobacteria_[19]	Alphaproteobacteria_[19]	Rhodospirillales_[19]	Acetobacteraceae_[19]	Acetobacter_[19]
1000867	80.47	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Acetobacteroides_[1]
1000818	86.57	Bacteria_[1]	Tenericutes_[1]	Mollicutes_[1]	Acholeplasmatales_[1]	Acholeplasmataceae_[1]	Acholeplasma_[1]
1000528	85.75	Bacteria_[1]	Tenericutes_[1]	Mollicutes_[1]	Acholeplasmatales_[1]	Acholeplasmataceae_[1]	Acholeplasma_[1]
1003558	86.16	Bacteria_[2]	Tenericutes_[2]	Mollicutes_[2]	Acholeplasmatales_[2]	Acholeplasmataceae_[2]	Acholeplasma_[2]
1002891	85.48	Bacteria_[2]	Tenericutes_[2]	Mollicutes_[2]	Acholeplasmatales_[2]	Acholeplasmataceae_[2]	Acholeplasma_[2]
3321	100	Bacteria_[16]	Proteobacteria_[16]	Gammaproteobacteria_[15],Betaproteobacteria_[15]	Enterobacterales_[15],Burkholderiales_[15]	Enterobacteriaceae_[15],Alcaligenaceae_[15]	Enterobacter_[14],Achromobacter_[14],Salmonella_[14]
15144	100	Bacteria_[1]	Firmicutes_[1]	Negativicutes_[1]	Acidaminococcales_[1]	Acidaminococcaceae_[1]	Acidaminococcus_[1]
14890	100	Bacteria_[1]	Firmicutes_[1]	Negativicutes_[1]	Acidaminococcales_[1]	Acidaminococcaceae_[1]	Acidaminococcus_[1]
1000983	99.77	Bacteria_[4]	Firmicutes_[4]	Negativicutes_[4]	Acidaminococcales_[4]	Acidaminococcaceae_[4]	Acidaminococcus_[4]
1001478	99.77	Bacteria_[4]	Firmicutes_[4]	Negativicutes_[4]	Acidaminococcales_[4]	Acidaminococcaceae_[4]	Acidaminococcus_[4]
1001586	99.53	Bacteria_[4]	Firmicutes_[4]	Negativicutes_[4]	Acidaminococcales_[4]	Acidaminococcaceae_[4]	Acidaminococcus_[4]
3300	100	Bacteria_[4]	Firmicutes_[4]	Negativicutes_[4]	Acidaminococcales_[4]	Acidaminococcaceae_[4]	Acidaminococcus_[4]
1003644	99.77	Bacteria_[1]	Firmicutes_[1]	Negativicutes_[1]	Acidaminococcales_[1]	Acidaminococcaceae_[1]	Acidaminococcus_[1]
1000843	99.77	Bacteria_[1]	Firmicutes_[1]	Negativicutes_[1]	Acidaminococcales_[1]	Acidaminococcaceae_[1]	Acidaminococcus_[1]
